ID;Prof;Transp;Menage;Enfant;Courses;Toilette;Repas;Sommeil;Television;Loisirs
'HAUS';610;140;60;10;120;95;115;760;175;315
'FAUS';475;90;250;30;140;120;100;775;115;305
'FNAU';10;0;495;110;170;110;130;785;160;430
'HAWE';653;100;95;7;57;85;150;808;115;330
'FAWE';511;70;307;30;80;95;142;816;87;262
'FNAW';20;7;568;87;112;90;180;843;125;368
'HAYO';650;140;120;15;85;90;105;760;70;365
'FAYO';560;105;375;45;90;90;95;745;60;235
'FNAY';10;10;710;55;145;85;130;815;60;380
'HAES';650;142;122;22;76;94;100;764;96;334
'FAES';578;106;338;42;106;94;92;752;64;228
'FNAE';24;8;594;72;158;92;128;840;86;398
